1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
331.355,336.54,326.37,336.44,336.44,98025633.0,0.0
282.1217,332.0,280.25,331.62,331.62,516523658.0,0.0
302.865,305.32,281.62,281.92,281.92,502931199.0,0.0
286.36,305.84,283.74,301.88,301.88,440360333.0,0.56
269.61,290.15,269.6,284.91,284.3623,522303043.0,0.0
251.23,271.65,243.0,270.9,270.3792,508388858.0,0.0
253.4,254.35,238.07,249.68,249.2,495089530.0,0.56
238.47,263.19,238.0501,252.18,251.1168,568698272.0,0.0
235.9,241.05,224.26,235.77,234.776,724981506.0,0.0
235.06,246.13,227.88,232.38,231.4002,489396912.0,0.56
222.53,242.64,211.94,231.96,230.4535,647897096.0,0.0
214.51,227.18,209.11,222.42,220.9755,593966967.0,0.0
204.29,228.12,200.12,214.07,212.6797,573325190.0,0.56
213.49,225.21,199.62,202.47,200.6228,631674298.0,0.0
225.51,232.86,196.25,210.33,208.4111,768528897.0,0.0
211.52,231.15,203.14,225.53,223.4724,692382980.0,0.51
203.14,216.38,197.51,205.01,202.6468,769842002.0,0.0
182.54,204.4,181.35,203.51,201.1641,765012029.0,0.0
175.8,187.51,173.8,183.25,181.1376,688873081.0,0.51
153.0,180.4,150.36,179.21,176.6589,984810925.0,0.0
165.31,175.0,132.52,157.71,155.465,1612954386.0,0.0
170.43,190.7,152.0,162.01,159.7038,887894931.0,0.51
158.78,174.05,156.51,170.23,167.351,555989763.0,0.0
151.81,159.55,146.65,157.7,155.0329,452664147.0,0.0
144.26,152.5,142.97,151.38,148.8198,393028043.0,0.51
139.66,145.67,133.22,143.37,140.4665,560654410.0,0.0
136.61,142.37,134.51,139.03,136.2144,477645820.0,0.0
137.0,140.94,130.78,137.86,135.0681,585509525.0,0.46
136.63,141.68,134.67,136.27,133.0535,484553299.0,0.0
123.85,138.4,119.01,133.96,130.798,508324437.0,0.0
130.53,130.65,123.04,123.68,120.7606,547218448.0,0.46
118.95,131.37,118.1,130.6,127.0535,433157868.0,0.0
112.89,120.82,108.8,117.94,114.7373,589045341.0,0.0
103.78,113.24,102.35,112.03,108.9878,469095970.0,0.46
99.55,107.9,97.2,104.43,101.1599,714204787.0,0.0
113.0,113.42,93.96,101.57,98.3894,944287635.0,0.0
107.05,112.24,99.35,110.89,107.4176,720228643.0,0.46
114.75,116.18,100.11,106.81,103.0139,927547942.0,0.0
110.85,115.29,107.23,114.37,110.3052,480255674.0,0.0
106.03,112.78,104.84,112.33,108.3378,456630721.0,0.42
98.1,111.15,98.0,106.08,101.9123,569501573.0,0.0
99.28,102.69,97.26,98.61,94.7358,602585341.0,0.0
93.21,99.99,92.45,98.84,94.9567,509418119.0,0.42
90.47,97.9,87.51,93.52,89.459,668258570.0,0.0
93.99,97.24,87.08,91.27,87.3067,732866406.0,0.0
94.79,96.07,83.83,93.77,89.6982,690287596.0,0.42
86.13,95.45,85.5,95.01,90.4659,543377322.0,0.0
83.6,87.4999,80.7,85.54,81.4488,447828256.0,0.0
83.68,85.06,82.24,84.17,80.1444,415711970.0,0.42
74.71,86.2,73.71,83.18,78.8028,440510118.0,0.0
74.71,75.97,72.92,74.49,70.5701,367134396.0,0.0
73.1,74.96,71.28,74.77,70.8354,429156682.0,0.39
69.33,74.42,68.02,72.7,68.5094,451248934.0,0.0
70.24,72.89,68.09,68.93,64.9567,610120893.0,0.0
68.68,70.74,67.14,69.84,65.8143,505249296.0,0.39
65.81,69.14,64.85,68.46,64.1534,428857613.0,0.0
64.13,66.19,63.62,65.86,61.7169,489173200.0,0.0
64.355,65.24,62.75,63.98,59.9552,440744043.0,0.39
62.79,65.91,61.95,64.65,60.2193,494435826.0,0.0
60.11,64.1,58.8,62.14,57.8813,513579428.0,0.0
59.97,61.41,57.28,60.26,56.1302,613056964.0,0.39
57.405,61.3699,56.315,59.92,55.4462,614841775.0,0.0
57.01,58.19,55.61,57.6,53.2994,526855083.0,0.0
56.6,58.7,56.14,57.46,53.1698,467079004.0,0.36
51.13,57.29,50.39,56.68,52.1214,647587634.0,0.0
52.44,52.95,48.035,51.17,47.0546,823987498.0,0.0
50.0,53.0,49.46,53.0,48.7374,530869347.0,0.36
55.05,56.77,49.35,49.87,45.5346,699025640.0,0.0
50.97,55.64,50.58,55.23,50.4286,640372350.0,0.0
54.88,55.09,48.19,50.88,46.4568,814770780.0,0.36
54.32,55.39,49.1,55.09,49.9488,927914485.0,0.0
54.41,56.85,53.68,55.48,50.3024,793070000.0,0.0
52.85,54.98,52.53,54.35,49.2779,662622220.0,0.36
44.75,54.37,43.75,52.64,47.4053,857330655.0,0.0
42.23,45.0,41.66,44.2,39.8046,670779566.0,0.0
46.98,48.41,39.72,43.52,39.1922,776277394.0,0.31
44.46,47.4,43.32,46.7,41.782,725458102.0,0.0
47.06,47.77,43.94,44.15,39.5005,664853340.0,0.0
48.58,48.905,46.02,46.86,41.9251,633072750.0,0.31
40.6,49.54,40.12,48.64,43.236,874535095.0,0.0
43.67,44.19,40.54,40.655,36.1381,824335340.0,0.0
40.59,44.3,40.23,43.85,38.9781,656509827.0,0.31
46.66,47.91,40.35,40.4,35.6578,918738022.0,0.0
47.88,49.06,44.9,46.45,40.9976,626810606.0,0.0
46.89,50.045,46.73,47.81,42.198,523008240.0,0.31
46.27,46.97,42.1,46.95,41.1771,853297059.0,0.0
45.43,47.57,44.53,46.36,40.6596,860084532.0,0.0
43.21,45.47,42.21,45.43,39.844,513429400.0,0.28
41.86,45.71,41.05,43.16,37.6207,731616500.0,0.0
40.95,42.29,39.86,41.7,36.3481,555779700.0,0.0
40.2401,40.97,38.51,40.94,35.6856,574362900.0,0.28
41.15,41.66,38.9,40.4,34.9727,746113500.0,0.0
37.92,41.5,37.495,40.99,35.4834,778425700.0,0.0
37.74,38.46,35.69,38.31,33.1634,705304500.0,0.28
37.35,37.89,34.63,37.84,32.5133,930226200.0,0.0
38.09,38.98,35.53,37.41,32.1438,826617700.0,0.0
35.67,38.29,35.39,38.13,32.7625,800431600.0,0.28
33.35,36.29,32.8,35.405,30.191,965331500.0,0.0
31.75,33.75,30.95,33.28,28.3789,1242961500.0,0.0
32.06,35.2,30.84,33.4,28.4812,1051265000.0,0.23
34.75,36.4299,31.02,31.84,26.9586,1111130600.0,0.0
34.92,35.78,32.57,34.545,29.2489,945155500.0,0.0
32.93,35.28,32.32,34.9,29.5495,1071860000.0,0.23
28.64,33.11,28.11,33.1,27.8345,1322883228.0,0.0
27.72,28.66,27.52,28.605,24.0546,844946000.0,0.0
27.67,28.2,27.1,27.8,23.3776,780587000.0,0.23
27.25,28.23,26.28,27.45,22.8955,1145054400.0,0.0
26.78,27.73,26.26,26.7097,22.2781,947310900.0,0.0
28.84,30.2,26.3449,26.615,22.1991,1310516100.0,0.23
29.81,30.25,27.76,28.54,23.6043,1105402300.0,0.0
30.45,31.61,29.74,29.76,24.6133,893107700.0,0.0
29.59,30.96,28.97,30.82,25.49,671748400.0,0.2
30.62,31.05,28.54,29.47,24.2127,846604100.0,0.0
28.76,31.14,28.32,30.59,25.1329,973131400.0,0.0
32.05,32.335,28.64,29.19,23.9827,1014372600.0,0.2
32.22,32.89,30.23,32.015,26.1307,940739700.0,0.0
31.93,32.95,31.49,32.255,26.3266,942366500.0,0.0
29.79,32.0,29.71,31.74,25.9062,984332300.0,0.2
26.55,29.95,26.39,29.53,23.9441,1354858100.0,0.0
25.56,26.19,25.16,25.96,21.0494,1007166600.0,0.0
26.19,27.2,24.3,25.58,20.7413,1046207400.0,0.2
24.72,27.5,24.26,26.63,21.4324,1218142500.0,0.0
26.46,27.5,24.6,24.89,20.032,1279920200.0,0.0
27.51,27.685,23.79,26.6,21.4082,1719339500.0,0.16
25.93,28.145,25.84,27.4,21.9138,1259328200.0,0.0
24.99,26.0,23.65,26.0,20.7941,1297757600.0,0.0
25.94,26.25,24.03,25.01,20.0023,1364062800.0,0.16
25.53,26.87,24.72,25.92,20.5957,1313844800.0,0.0
26.6,26.78,24.68,25.39,20.1746,1310885200.0,0.0
27.8,28.34,26.43,26.58,21.1202,1114368500.0,0.16
28.05,29.46,27.42,27.725,21.9,1361258700.0,0.0
25.57,28.4,25.56,27.91,22.0461,1033710000.0,0.0
